Country,General,Current,Emerging,Underground
Namibia,spotify:playlist:3PHMjLUO5K1Hm2QCK8LBk6,spotify:playlist:6B8BVDtbS4NV9yWO6hAZcd,spotify:playlist:5Uli1qPf7Ekdlx99rxkntI,No playlist.
Nauru,spotify:playlist:0xHWHGjPxodIAv7DpBSF4Z,spotify:playlist:08HssURuJhvdNRVyqWD28g,No playlist.,No playlist.
Nepal,spotify:playlist:1pgs9DC6KcUNx3nB1F1iXE,spotify:playlist:0X0uytrqrhPZrNrSZ5QlD9,No playlist.,No playlist.
Netherlands,spotify:playlist:2zt8WX0nS7aicEsA2imw3C,spotify:playlist:23e8IWtvApU4F3AQBEnPfn,spotify:playlist:6y6PLPqGumf7Oq46DEMLA1,spotify:playlist:108ZFlgOHvHxm23fvyAV1o
New Zealand,spotify:playlist:7EtVmsac5KkB4bMIqDtQi5,spotify:playlist:6yvl13TPZ0zFr34E6JfwGi,spotify:playlist:2qzhoeADVf8V0cgLnQ0K5e,spotify:playlist:3x2TjwLR4MIkXpUrLfcpMV
Nicaragua,spotify:playlist:3dhrMFIzkzijqmpGglA4Ax,spotify:playlist:2O8g98PzV6W7zr5fsRrWF8,spotify:playlist:6M3SonnNT05Wa1bIWv0vL4,spotify:playlist:5z6tUMxgJqoSEmURNMXRmt
Niger,spotify:playlist:2WEAuJDdzwpASFQRFImg9f,spotify:playlist:1r9PR3sFEVb4RiSXQcyH8z,No playlist.,No playlist.
Nigeria,spotify:playlist:23U13r2MxJQBufDxNNncLM,spotify:playlist:1boxxQCFLDkoPqSUFeUWKY,spotify:playlist:5UnrCx6P0nzMJkQguyHTIL,spotify:playlist:2NbWN4Tk1dBI6De8qJ8Hiy
North Macedonia,spotify:playlist:6ivFKmJMDSLZhHXKZlrHzU,spotify:playlist:1ApIY9MH75VRIj4p1gtHI3,spotify:playlist:3oycl80j3tnJTL9NlSC0Am,No playlist.
Norway,spotify:playlist:3D9PQkfzYiLk01qhBxPvQs,spotify:playlist:49jp4Lc5Zo3EvJ5S1ivX0z,spotify:playlist:37Dn07HBiCBP5EZd96KxJH,spotify:playlist:0ctK5ySuiL1kxxTl0TE4c8
Oman,spotify:playlist:5u5VELFDW9mc9ShQWaPtRd,spotify:playlist:1xIYOljSvRBo1mxFjWAfPi,spotify:playlist:4jSRcVWgdtuKNiDxLz4xIl,spotify:playlist:2cL5DJ9x4m2MfdYHuWaeCx
Pakistan,spotify:playlist:5CExXfj7AyhyowPuYT6bUS,spotify:playlist:6UHhJhZJZsxie6lENcHxNi,spotify:playlist:0nIqArJxGe8JrriruyeJBr,spotify:playlist:5PAmceXGy857AjLJfBeVi7
Palau,spotify:playlist:6bY97Q9pGjuQDlSkSR6QgY,spotify:playlist:2uzJO6I5qqUVse9mnHYgfY,No playlist.,No playlist.
Palestine,spotify:playlist:36okGguRZLkVntU7zahQw0,spotify:playlist:2nNQl1HAsBuxYhojwuns3F,No playlist.,No playlist.
Panama,spotify:playlist:0wLiz1mna29mvP9mcZ5vIt,spotify:playlist:2XV7Yx0sXa4kVhm8SKYf8y,spotify:playlist:61qHNUiakHlmQTri1lrtIE,spotify:playlist:4PwALtHVt8odCiXV5LLfUN
Papua New Guinea,spotify:playlist:55cV5NHQYgLh73diCD3cps,spotify:playlist:2fvnrglgH0kwNupkmo673P,No playlist.,No playlist.
Paraguay,spotify:playlist:2le6Xafi70TjvxMkuAV6uE,spotify:playlist:5Pkk9EjK53kvFjkE2U3guK,spotify:playlist:6cqwxh1CxM0N6Op7hLkapK,spotify:playlist:7itxav7gILEp71XEQXUeHW
Peru,spotify:playlist:2JWnJeKS9j3BQwxIpZUPpw,spotify:playlist:5zGFdpWwtM7WHzBsngZism,spotify:playlist:6VXgj9k8EQeYdqR9u04KZT,spotify:playlist:2XAds15wyZCSzUmG58bXhk
Philippines,spotify:playlist:1StKtsk68ncNq7Yu7F1yl5,spotify:playlist:0rE1pnKgeAV0Il6BOqfmsk,spotify:playlist:0FSEe9mrTA7LZ7goeoZ0Mp,spotify:playlist:0mzfj2Es7m0YDJoO6DR1sd
Poland,spotify:playlist:4zDoqAbnXxTYgfOYIx06ks,spotify:playlist:1NcRQSQniC7DqMGNWYzL8G,spotify:playlist:4IvYVhhGnlAb6EmGNh8oeX,spotify:playlist:0O2Yai0gEh7i8l4h9Hsp94
Portugal,spotify:playlist:5tUfayivTLP0ms4HoeBDs7,spotify:playlist:2gYnaOgfM5FxZXAO6YUhAb,spotify:playlist:6VEJQm8kll71Pou6VcaO7I,spotify:playlist:0B9FcxcJ5oSayofX5jls2r
Qatar,spotify:playlist:77yJKnCwRIJFiAZhguVZlK,spotify:playlist:69J0oQnyTbK9QWfxVMQWcx,spotify:playlist:2wu5XauhqTtNEQAJLnoxwq,spotify:playlist:3id044nCBC59497DR3pwsJ
Romania,spotify:playlist:1D7tdAnFckbaSCHXmGsaJs,spotify:playlist:7DxGTUXSVU762E68cwBeWW,spotify:playlist:25SktDS3lDHNf626ZVElwI,spotify:playlist:4CGkQDaFO0XZckuyLBCwnR
Russia,spotify:playlist:1N5pSx2Pc2KVa0guq4jIKt,spotify:playlist:25yQ2Dj6Xe9cUsXq09FuZs,spotify:playlist:3E6CPq1c1ItJ8GyCK7WkMs,spotify:playlist:1w2M7ZHBcZhJZ6YbIq9d7o
Rwanda,spotify:playlist:6qFzvm4vDba3LYJet9f1T3,spotify:playlist:7uSh8LRsb9lZaIBTh0VJye,No playlist.,No playlist.
Saint Kitts and Nevis,spotify:playlist:2HqjKKW9542VZK0Mr1W3nl,spotify:playlist:3X4WMD5kSrYWVnvkn6Xv7O,No playlist.,No playlist.
Saint Lucia,spotify:playlist:5TCrSBD8FuWf4bGHI6x6Zd,spotify:playlist:5wmvXHUniltnqZOIKfXsTq,No playlist.,No playlist.
Saint Vincent and Grenadines,spotify:playlist:5Y3BylLwI7H3gtt8dTjpVd,spotify:playlist:3Vx1XGBYuw4UUelMun6uWj,No playlist.,No playlist.
Samoa,spotify:playlist:7iS6o7AIBvdSnkD49pNmvC,spotify:playlist:6Nsx4YRsmZZp8vVoTdmAYs,No playlist.,No playlist.
San Marino,spotify:playlist:4AkKpsGaATA3ywBTJPpO9V,spotify:playlist:5ELXGvCmIaptLdkSgyC43o,No playlist.,No playlist.
Sao Tome and Principe,spotify:playlist:548o8yBxiQ4VrdMV57GyCU,spotify:playlist:3es8lwEvqVYD9csEtPwM6f,No playlist.,No playlist.
Saudi Arabia,spotify:playlist:4RHtaQuNRtEtSuLWekvS0u,spotify:playlist:3j3iIO2Qdze124QAhLPOct,spotify:playlist:3qTCHdSQzwTuVXI3RaOS5i,spotify:playlist:5jLyyANktPWIJz5XO0nu1z
Senegal,spotify:playlist:28lNPz5pSws5bTlSACIWeU,spotify:playlist:4R5DZcMiZwz9ijBpOoHjCx,No playlist.,No playlist.
Serbia,spotify:playlist:03YA1qFVvPV5VkayrRPFNT,spotify:playlist:1wwg9TwORkkIhcB276vXvY,spotify:playlist:3KdbqCJLVERLACPsALteqh,spotify:playlist:3dmi7Yk4hXKZJKIQbDG77a
Seychelles,spotify:playlist:0RLD96tirId9k7HW5UyiXS,spotify:playlist:3adgU0Hl3OkFC0cO42348C,No playlist.,No playlist.
Sierra Leone,spotify:playlist:3bigIxahxMnySmQNFks87K,spotify:playlist:3fDHs1CP6lzZGCFCXj84rg,No playlist.,No playlist.
