Number,Genre,Link
252,g funk,https://embed.spotify.com/?uri=spotify:playlist:7c1Z3aCJLt7YisQQyXwypK
253,jazz pop,https://embed.spotify.com/?uri=spotify:playlist:04AQGSIBVHZn3OTzLLZjlz
254,dutch pop,https://embed.spotify.com/?uri=spotify:playlist:56vsjg8uIptImNUVOyXi5d
255,brazilian hip hop,https://embed.spotify.com/?uri=spotify:playlist:2CBOZqWolmSfOeXAo8mCFZ
256,new orleans rap,https://embed.spotify.com/?uri=spotify:playlist:41wq6c8ic47zFa4ixRZp6P
257,urbano chileno,https://embed.spotify.com/?uri=spotify:playlist:7tZuamhysdcbZWkGa3l72G
258,pixel,https://embed.spotify.com/?uri=spotify:playlist:0t85wrZwJdkmcL015OytYz
259,bachata,https://embed.spotify.com/?uri=spotify:playlist:5CllQE0jNYEbZWEjyhDD6J
260,emo,https://embed.spotify.com/?uri=spotify:playlist:4eC7Sa1Xcy33lKn53gfiZb
261,white noise,https://embed.spotify.com/?uri=spotify:playlist:7j5QgrOCOptczCKI74BK39
262,country pop,https://embed.spotify.com/?uri=spotify:playlist:1kmPba3K0wZwyVJXktgJii
263,outlaw country,https://embed.spotify.com/?uri=spotify:playlist:5D1IoXQGtdt84Mx8QvvSSY
264,dfw rap,https://embed.spotify.com/?uri=spotify:playlist:6ze96fv5x3AklLyAqxPPv8
265,trap boricua,https://embed.spotify.com/?uri=spotify:playlist:4fWARp37Pjz3rf3WvVIAFz
266,chanson,https://embed.spotify.com/?uri=spotify:playlist:6IyBSGUEuApnT6miXVlKLf
